LicenseId,LicenseName,LicenseScore,PackageName,PackageVersion,LicenseReferenceType,LicenseReference,LicenseState,LicenseStateLastUpdateDate,LicenseStateLastUpdateUser,LicenseStateLastUpdateComment
1,"Apache 2.0",3,"net.minidev:json-smart","2.5.2","PomFile","https://mvnrepository.com/artifact/net.minidev/json-smart/2.5.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apache.commons:commons-lang3","3.18.0","LicenseFileInJar","https://mvnrepository.com/artifact/org.apache.commons/commons-lang3/3.18.0","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apache.httpcomponents:httpclient","4.5.13","LicenseFileInJar","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient/4.5.13","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apache.httpcomponents:httpcore","4.4.16","LicenseFileInJar","https://mvnrepository.com/artifact/org.apache.httpcomponents/httpcore/4.4.16","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apache.tomcat.embed:tomcat-embed-core","10.1.54","LicenseFileInJar","https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core/10.1.54","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apache.tomcat.embed:tomcat-embed-el","10.1.41","LicenseFileInJar","https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-el/10.1.41","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apache.tomcat.embed:tomcat-embed-websocket","10.1.41","LicenseFileInJar","https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-websocket/10.1.41","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.apiguardian:apiguardian-api","1.1.2","LicenseFileInJar","https://mvnrepository.com/artifact/org.apiguardian/apiguardian-api/1.1.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.assertj:assertj-core","3.27.7","LicenseFileInJar","https://mvnrepository.com/artifact/org.assertj/assertj-core/3.27.7","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.awaitility:awaitility","4.2.2","LicenseFileInJar","https://mvnrepository.com/artifact/org.awaitility/awaitility/4.2.2","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
1,"Apache 2.0",3,"org.hibernate.validator:hibernate-validator","8.0.2.Final","LicenseFileInJar","https://mvnrepository.com/artifact/org.hibernate.validator/hibernate-validator/8.0.2.Final","Effective",2026-04-28T07:50:46.101Z,"System","Checkmarx automatically marked this license as Effective because it is the sole license for this package and it was identified by a reliable source."
